system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
000000000000000008c0_0,0.0891,0.03885,0.04805,0.0469,0.286,0.52492666,0.7182337,-0.71231854,0.4306039301968543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.59511387352684,10.819354197699722]}"
000000000000000008c1_0,0.24245,0.13245,0.1418,0.13855,0.3376,0.16403757,0.41804054,-0.40842718,0.3058699935765408,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60185123815774,10.821240659796374]}"
000000000000000008c2_0,0.11695,0.0573,0.0756,0.07405,0.2869,0.4208246,0.58969384,-0.5828966,0.37084036481233507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.59942578689062,10.818006724773543]}"
000000000000000008c3_0,0.1761,0.0995,0.1196,0.11935,0.2862,0.23815702,0.41141656,-0.41054705,0.27637897615042417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.59700033562349,10.815850768091657]}"
000000000000000008c4_0,0.2591,0.1361,0.1558,0.1501,0.3655,0.17034905,0.41776574,-0.40226358,0.3181370784175225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.59762915632237,10.812706664597238]}"
000000000000000008c5_0,0.1513,0.141,0.12985,0.10845,0.4124,0.46318966,0.5835653,-0.52106965,0.4466131183393399,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.59619185186779,10.828517013597741]}"
000000000000000008c6_0,0.0487,0.0192,0.02585,0.0175,0.3354,0.7464202,0.90082175,-0.8568858,0.559092491532264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60652247763515,10.83300859001834]}"
000000000000000008c7_0,0.05725,0.0183,0.03225,0.02295,0.3199,0.69640726,0.86612225,-0.81683946,0.5284748264929535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.6023003957998,10.830313644165981]}"
000000000000000008c8_0,0.05665,0.02025,0.0298,0.0184,0.3519,0.72267777,0.9006211,-0.84385645,0.5748018035258851,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.6060733199931,10.828876339711389]}"
000000000000000008c9_0,0.04745,0.0159,0.02195,0.0178,0.2984,0.7256036,0.887413,-0.86296237,0.5156824495054869,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60095292287362,10.830313644165981]}"
000000000000000008ca_0,0.11185,0.2525,0.2578,0.23775,0.3694,0.5351688,0.21683274,-0.17793365,0.17836336836260364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.5954731996405,10.840644269933355]}"
000000000000000008cb_0,0.1706,0.16035,0.16485,0.16235,0.2911,0.260992,0.28393427,-0.2768944,0.20255387884518963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.6076004559761,10.839745954649237]}"
000000000000000008cc_0,0.2349,0.2313,0.2384,0.2275,0.4166,0.27889484,0.29358792,-0.27206105,0.24792411038237402,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60104275440203,10.837949324080997]}"
000000000000000008cd_0,0.07175,0.0357,0.04375,0.0352,0.357,0.6653061,0.8204997,-0.78165936,0.5410221855945153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.6076004559761,10.835973030455934]}"
000000000000000008ce_0,0.13995,0.23085,0.2141,0.18635,0.38,0.46167898,0.34192637,-0.2792459,0.2724011713163735,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60418685789645,10.842710395086831]}"
000000000000000008cf_0,0.1048,0.1291,0.13105,0.11175,0.3497,0.53883386,0.5156572,-0.45481017,0.37123615976874796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60167157510091,10.842530732030006]}"
000000000000000008d0_0,0.1029,0.13625,0.1378,0.12935,0.3142,0.50659317,0.4167512,-0.39026552,0.29386360546027934,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.59996477606109,10.841452753689063]}"
000000000000000008d1_0,0.13905,0.22115,0.2086,0.18775,0.3564,0.4386921,0.30993295,-0.26159292,0.24227842926820647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60625298304993,10.83758999796735]}"
000000000000000008d2_0,0.3727,0.4682,0.46315,0.46085,0.6073,0.23938774,0.1371062,-0.13466299,0.14008543630246936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.64308390969882,10.854118999195148]}"
000000000000000008d3_0,0.0531,0.0228,0.03565,0.02285,0.339,0.7291507,0.87370455,-0.80968904,0.5502407479430376,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.63751435493728,10.845225677882365]}"
000000000000000008d4_0,0.04875,0.02295,0.02935,0.0185,0.279,0.7025172,0.87563026,-0.80963194,0.4899686692581296,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.63913132244869,10.847022308450605]}"
000000000000000008d5_0,0.15665,0.10785,0.11035,0.0992,0.345,0.37546095,0.5533543,-0.5153179,0.39048929600843396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.63850250174981,10.842890058143654]}"
000000000000000008d6_0,0.1144,0.0382,0.05445,0.0538,0.3023,0.45092395,0.6978377,-0.6947442,0.43540474615121083,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.63886182786347,10.852412200155321]}"
