system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
00000000000000000451_0,0.1699,0.0258,0.0541,0.0271,0.3916,0.39483526,0.8705517,-0.7572358,0.5951344404615878,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.74575677239183,9.648939214020398]}"
00000000000000000452_0,0.1906,0.0204,0.0416,0.02715,0.2493,0.13343944,0.8035811,-0.71399105,0.42916479387607087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.28870310439552,10.349625135633625]}"
00000000000000000453_0,0.2259,0.048,0.0769,0.06355,0.34465,0.20813252,0.688633,-0.635156,0.4642699787518991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.09861501599399,10.34666069519603]}"
00000000000000000455_0,0.2334,0.0535,0.0778,0.0877,0.1908,-0.10042434,0.37019747,-0.42069992,0.19865124201561662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.50464895013415,9.22978530245023]}"
00000000000000000456_0,0.1324,0.0201,0.0431,0.0213,0.2951,0.38058478,0.8653603,-0.74512124,0.5030622305954962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.83567813233219,9.370551307471759]}"
00000000000000000457_0,0.2987,0.0508,0.0756,0.0954,0.2416,-0.10568202,0.4338279,-0.52332914,0.2620071824842744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.15080255971947,9.036288190250884]}"
00000000000000000458_0,0.17405,0.0459,0.07165,0.04465,0.3226,0.299104,0.7568414,-0.63652503,0.48074373941505866,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.87762945610058,10.71011905915079]}"
00000000000000000459_0,0.1847,0.0273,0.0528,0.0262,0.3254,0.27582827,0.850967,-0.72078264,0.5270079786173585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.61756718134798,9.945023931666192]}"
0000000000000000045a_0,0.2638,0.05745,0.0739,0.0852,0.2428,-0.041452818,0.48048782,-0.53331226,0.2855072492979942,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.47833746087315,10.113907205080663]}"
0000000000000000045b_0,0.10965,0.0296,0.0465,0.02175,0.2627,0.41103798,0.8470733,-0.6992238,0.46073681223355617,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.14443366976593,10.70787327094049]}"
0000000000000000045c_0,0.32915,0.6002,0.546,0.4956,0.4783,0.18471734,-0.01776361,0.066093914,-0.017606330183973888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.49144828973945,10.318723089859914]}"
0000000000000000045d_0,0.2754,0.0311,0.06095,0.07315,0.2605,-0.027803691,0.5615166,-0.6207808,0.337101917336031,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.27468938596326,10.090191681579908]}"
0000000000000000045e_0,0.2331,0.0322,0.0536,0.0584,0.2366,0.007451564,0.6040678,-0.6305996,0.33622640706288426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.73965737702352,10.243444269050698]}"
0000000000000000045f_0,0.3409,0.2379,0.26695,0.2666,0.4274,0.112586215,0.23170026,-0.2310794,0.202010024363024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.57346447517956,10.464160334358864]}"
00000000000000000460_0,0.1407,0.0131,0.0349,0.0153,0.3353,0.40882352,0.91272104,-0.8114533,0.5643075457776305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.88796008186796,9.566563702466638]}"
00000000000000000461_0,0.1465,0.02155,0.0395,0.0212,0.3028,0.34787446,0.8691358,-0.7692083,0.5126213604018292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.15601278836736,9.596747096013054]}"
00000000000000000462_0,0.2421,0.034,0.0647,0.04655,0.3327,0.15762006,0.7545155,-0.6743835,0.4881717575351213,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.35948577450229,9.752694629336203]}"
00000000000000000463_0,0.1049,0.0422,0.0615,0.0399,0.1214,0.072912045,0.50526965,-0.32750136,0.18486314278840554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.42712434111463,10.169243426582424]}"
00000000000000000464_0,0.1754,0.0175,0.0423,0.0217,0.2776,0.22560704,0.85499495,-0.73554236,0.48023269035954586,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.04093860047166,8.876477901206021]}"
00000000000000000465_0,0.1876,0.0315,0.0623,0.05215,0.3197,0.26039818,0.71951056,-0.673822,0.46031427768339017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.63114089070189,10.524796616036932]}"
00000000000000000466_0,0.31965,0.051,0.07965,0.1084,0.2494,-0.123451345,0.39407492,-0.51587903,0.24656097253544731,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.43836243072984,10.01626033369687]}"
00000000000000000467_0,0.18865,0.0265,0.04855,0.02255,0.3292,0.27141064,0.8717839,-0.7429517,0.5400352214115629,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.27450514862458,10.431641321073737]}"
00000000000000000468_0,0.22705,0.05455,0.09135,0.1214,0.2403,0.028351327,0.32872546,-0.44911805,0.20697458733795915,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.52729564385767,10.663586327433398]}"
00000000000000000469_0,0.2061,0.2356,0.2122,0.1766,0.4164,0.33783132,0.4043845,-0.32484886,0.32909423010531685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.26273264412076,9.858156843691834]}"
0000000000000000046a_0,0.20475,0.0672,0.0843,0.0645,0.2854,0.16454147,0.6313233,-0.54395455,0.38986940812733245,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.56519997456566,10.37567627887309]}"
0000000000000000046b_0,0.23895,0.047,0.0792,0.04595,0.431,0.28666317,0.8073173,-0.68953353,0.5912022072601602,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.84807488325305,10.681732296172612]}"
0000000000000000046c_0,0.09735,0.01465,0.0328,0.02085,0.2329,0.4104466,0.835665,-0.753105,0.4219900383784475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.15188968662412,10.004043245832845]}"
0000000000000000046d_0,0.4913,0.7385,0.7139,0.6854,0.7417,0.20308192,0.039450623,-0.019098628,0.043822311536228294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.96099311446687,10.023267192913003]}"
0000000000000000046e_0,0.2854,0.0597,0.0834,0.1209,0.2434,-0.079425134,0.33626133,-0.48959607,0.212599785347762,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.99189973452243,10.13402946744494]}"
0000000000000000046f_0,0.0916,0.0236,0.0486,0.0427,0.3145,0.54887956,0.76091826,-0.73230517,0.47561829671019235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.40852921473336,9.149835242163592]}"
00000000000000000470_0,0.1861,0.0304,0.05185,0.04415,0.2215,0.08684982,0.6676078,-0.6206329,0.34744987419086604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.76894245528582,10.338935183752602]}"
00000000000000000471_0,0.277,0.0431,0.0696,0.0817,0.2216,-0.111111134,0.46125948,-0.521978,0.26123490615125056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.74009738610188,9.467120200514607]}"
00000000000000000472_0,0.156,0.0259,0.0517,0.0274,0.3104,0.3310463,0.83777386,-0.7144435,0.5066841836383567,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.07085707371469,9.602675976888243]}"
00000000000000000473_0,0.1464,0.0203,0.0381,0.0193,0.334,0.39050788,0.8907444,-0.7952163,0.5532051920191691,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.99287873277126,8.640490476067823]}"
00000000000000000474_0,0.1522,0.0292,0.0483,0.0298,0.2742,0.2861163,0.8039474,-0.7004651,0.4559701402133256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.81187277730302,9.79257982795111]}"
00000000000000000475_0,0.2512,0.0365,0.05885,0.07405,0.2289,-0.046448637,0.51114047,-0.5909644,0.2892770375834676,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.65961748520847,10.367771104372839]}"
00000000000000000476_0,0.5446,0.7242,0.6986,0.6782,0.67295,0.105416626,-0.0038855618,0.018701443,-0.004254093679702165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.88257019016324,9.999551669412247]}"
00000000000000000477_0,0.2126,0.0529,0.0791,0.0529,0.3876,0.2915695,0.7598184,-0.6610242,0.5338118039916004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.15700550946175,9.615611716979563]}"
00000000000000000478_0,0.2069,0.0374,0.0717,0.0363,0.4288,0.34906402,0.84390455,-0.7134865,0.6100403986141735,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.39209004503398,10.168524774355129]}"
00000000000000000479_0,0.1886,0.0305,0.0536,0.0285,0.3533,0.3039306,0.8507072,-0.7365446,0.5525062427920592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.5388747624591,9.95041382337091]}"
0000000000000000047a_0,0.26225,0.03255,0.0504,0.05965,0.1991,-0.1368809,0.5389372,-0.59599197,0.27568369411793925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.99450484884638,10.18280798737263]}"
0000000000000000047b_0,0.3648,0.076,0.1051,0.1512,0.2565,-0.17431192,0.25827816,-0.4186947,0.17401125205935458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.32939678676614,10.503416712274888]}"
0000000000000000047c_0,0.1805,0.02455,0.04675,0.02925,0.2719,0.2020336,0.80574465,-0.7065746,0.4543156696572605,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.69465178128914,10.046353895714875]}"
0000000000000000047d_0,0.1374,0.0278,0.0502,0.0253,0.3015,0.37388927,0.84516525,-0.7145294,0.5010885255096758,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.51444058673106,8.571140536133797]}"
0000000000000000047e_0,0.1928,0.04325,0.0822,0.066,0.3241,0.25401428,0.6616252,-0.59537286,0.4349511152006763,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.52864311678384,10.753238192788526]}"
0000000000000000047f_0,0.2244,0.0482,0.075,0.0424,0.3318,0.19309603,0.77338326,-0.63126844,0.49656830967179566,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.62187909471174,10.55605798792429]}"
00000000000000000480_0,0.4133,0.2837,0.2988,0.2836,0.5066,0.10142408,0.28220704,-0.25800848,0.25926214791676294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.4273085784533,10.831122127921688]}"
00000000000000000481_0,0.17685,0.03165,0.0609,0.0348,0.3385,0.3136703,0.81355476,-0.69504255,0.5216420385290317,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.36478126039674,8.797156661618267]}"
00000000000000000482_0,0.2391,0.0969,0.1258,0.0782,0.4711,0.32666856,0.715274,-0.5784889,0.5616601614736009,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.0972675430678,9.594860633916403]}"
00000000000000000483_0,0.1498,0.0153,0.0303,0.0188,0.2124,0.1728327,0.8373703,-0.75030905,0.39715536819079944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.36253547218645,9.144086024345228]}"
00000000000000000484_0,0.27415,0.05665,0.0918,0.06585,0.3764,0.15717466,0.70220464,-0.6078599,0.49437516544381077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.65700779660267,10.367052452145543]}"
00000000000000000485_0,0.14295,0.02545,0.04775,0.02395,0.35815,0.42945522,0.87464017,-0.7647204,0.5683029206381365,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.22123047799444,9.460472667412123]}"
00000000000000000486_0,0.2791,0.05595,0.09895,0.06005,0.467,0.25184292,0.77212787,-0.6503225,0.5943478973231,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.40332356036733,10.70508849355972]}"
00000000000000000487_0,0.19325,0.03145,0.0452,0.0542,0.171,-0.06108441,0.5186501,-0.58186865,0.24158853137437725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.79948517494589,10.224310153498951]}"
00000000000000000488_0,0.4794,0.77045,0.72615,0.66055,0.8126,0.25789472,0.10321421,-0.056181993,0.11558929921504266,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.50959425847866,10.386905219924586]}"
00000000000000000489_0,0.6171,0.3491,0.4388,0.5222,0.5376,-0.06884907,0.014531037,-0.10118801,0.014809584020482783,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.17533571553963,10.200953956111844]}"
