B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,pineapple,latitude,longitude
0.17725,0.05985,0.07615,0.084,0.1439,-0.10384552,0.2628346,-0.3078846,0.1234373011231604,0,10.350792945502981,-85.23713980708706
0.2067,0.0375,0.0744,0.0434,0.3514,0.25927252,0.78014183,-0.6505402,0.5163164802843984,0,10.332018156064882,-83.51767452175389
0.1448,0.0194,0.0417,0.0233,0.3016,0.35125446,0.85657126,-0.7570638,0.5060613529880291,0,9.438553774479606,-83.6162197084218
0.2176,0.0294,0.0553,0.0391,0.4753,0.37191513,0.84797823,-0.7915567,0.6450118440653141,0,9.248560091888328,-83.18592668732855
0.1373,0.0315,0.0476,0.0286,0.301,0.3734885,0.8264563,-0.7269076,0.4925265180183032,0,10.66457447424593,-83.59978053872241
0.2559,0.0415,0.0645,0.0818,0.2548,-0.0021539137,0.51396316,-0.59599125,0.310184069240706,0,10.87720570199702,-85.52019895311312
0.2327,0.039,0.0714,0.0414,0.403,0.26789364,0.81368136,-0.6989882,0.5743329059847333,0,10.20077429305502,-83.43601766242742
0.1696,0.0173,0.035,0.01675,0.3284,0.3188755,0.90294075,-0.8073748,0.5531266472392947,0,9.228078503410403,-83.26947000875167
0.3227,0.07965,0.1109,0.1629,0.2573,-0.11275863,0.2246549,-0.39760998,0.1538795745205103,0,10.196821705804894,-85.44887271955403
0.2772,0.05325,0.0805,0.1117,0.2508,-0.049999997,0.38372415,-0.51403564,0.2419130665058597,0,10.108068155733886,-85.16105250252214
